Date,news,finance,tech,head
22.10.2024,5,7,,6
24.10.2024,5,7.5,,6
25.10.2024,5,8,,6
26.10.2024,5,7,,6
27.10.2024,5,7,,5
28.10.2024,6,7.5,,6
28.10.2024,5,6,6,5
30.10.2024,8,8,7,8
31.10.2024,8,8,5,6
02.11.2024,5,6,6,5
04.11.2024,5,7,7,6
06.11.2024,7,8.5,6,6.5
07.11.2024,7,8,8,8
11.11.2024,5,8,7,5
12.11.2024,8,9,6.5,7.5
15.11.2024,8,8,7,8
17.11.2024,5,8,6,5
20.11.2024,8,8,8,8
22.11.2024,5,8,7,8
22.11.2024,8,7,7,8
24.11.2024,8,8,5,6
25.11.2024,7,9,4,5
26.11.2024,6,6,8,5
27.11.2024,5,7,3,5
28.11.2024,8,7,8,8
30.11.2024,8,8,6,7
01.12.2024,5,6,7,6
02.12.2024,6,6,7,6
03.12.2024,8,8,7,6
06.12.2024,7,8,4,6
09.12.2024,8,7,4,6
10.12.2024,6,4,7,6
11.12.2024,7,6,8,7
12.12.2024,8,6,7,6
16.01.2025,6,8,8.5,6.5
18.01.2025,9,10,6,8
20.01.2025,8,8,7,8
21.01.2025,5,8,8,6
23.01.2025,7,7,8,7
24.01.2025,8,7,8,8
27.01.2025,5,5,3,5
27.01.2025,8,4,6,6
29.01.2025,8,5,8,8
03.02.2025,8,5,9,8
05.02.2025,6,7,6,6
06.02.2025,8,6,6,7
07.02.2025,5,4,8,5
10.02.2025,7,7,9,7
11.02.2025,8,6,5,7
12.02.2025,5,4,8,5
13.02.2025,5,3,6,5
14.02.2025,5,4,6,5
18.02.2025,5,4,7,5
19.02.2025,5,3,6,5
20.02.2025,5,3,6,5
21.02.2025,8,8,7,8
23.02.2025,5,4,6,5
25.02.2025,5,3,6,5
26.02.2025,5,4,7,5
27.02.2025,5,3,3,5
02.03.2025,5,4,4,5
03.03.2025,8,7,8,8
05.03.2025,5,7,7,5.5
06.03.2025,7,6,6,6.5
08.03.2025,5,4,7,5.5
10.03.2025,5,3,7,5
10.03.2025,5,4,8,5.5
12.03.2025,5,3,7,5
13.03.2025,4,5,5,5.5
14.03.2025,5,8,8,7
14.03.2025,5,4,6,5
17.03.2025,3,7,3,5
18.03.2025,5,6.5,3,5
19.03.2025,5,6.5,3,5
20.03.2025,8,7,8,8
21.03.2025,7,7,6,7
22.03.2025,5,7,6,5